                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9445,                 6.1209,                 4.2293,                      0,                      0,                      0,                      0,                 4.2572,                 5.4953,                 4.1595,                    0.1,                      0,                      0
                      1,                   4.05,                 6.2744,                 4.2096,                      0,                      0,                      0,                      0,                 4.2572,                 5.4953,                 4.1597,                 0.0991,             9.9753e-05,             9.9753e-05
                      2,                 4.0789,                 6.2094,                 4.2049,                      0,                      0,                      0,                      0,                 4.2551,                  5.497,                   4.16,               0.098199,             0.00019901,             0.00019901
                      3,                 4.0728,                 5.9212,                  4.234,                      0,                      0,                      0,                      0,                 4.2551,                  5.497,                 4.1601,               0.097298,             0.00029777,             0.00029777
                      4,                 4.0555,                  6.515,                 4.2281,                      0,                      0,                      0,                      0,                 4.2551,                  5.497,                 4.1601,               0.096396,             0.00039604,             0.00039604
                      5,                 3.8073,                 6.8342,                 4.2052,                      0,                      0,                      0,                      0,                 4.2489,                 5.4964,                 4.1601,               0.095494,             0.00049381,             0.00049381
                      6,                 4.0523,                 6.1422,                 4.2229,                      0,                      0,                      0,                      0,                 4.2415,                 5.4813,                 4.1551,               0.094591,             0.00059109,             0.00059109
                      7,                 4.3801,                 6.9776,                 4.2102,                      0,                      0,                      0,                      0,                 4.2326,                 5.4694,                 4.1504,               0.093688,             0.00068787,             0.00068787
                      8,                 3.9925,                 5.6584,                 4.1922,                      0,                      0,                      0,                      0,                 4.2146,                 5.4419,                 4.1434,               0.092784,             0.00078416,             0.00078416
                      9,                 4.1018,                 6.1006,                 4.1964,                      0,                      0,                      0,                      0,                 4.2026,                 5.4284,                 4.1377,                0.09188,             0.00087995,             0.00087995
                     10,                    4.3,                 6.1789,                 4.1788,                      0,                      0,                      0,                      0,                 4.1842,                 5.4113,                 4.1293,               0.090975,             0.00097525,             0.00097525
                     11,                 4.2253,                 6.2325,                 4.1607,                      0,                      0,                      0,                      0,                 4.1554,                   5.38,                 4.1199,                0.09007,              0.0010701,              0.0010701
                     12,                 4.1203,                 5.9504,                 4.1349,                      0,                      0,                      0,                      0,                 4.1382,                 5.2302,                 4.1106,               0.089164,              0.0011644,              0.0011644
                     13,                 3.9866,                 5.4539,                 4.1418,                      0,                      0,                      0,                      0,                 4.1136,                 5.2061,                 4.1022,               0.088258,              0.0012582,              0.0012582
                     14,                 3.9762,                 5.3486,                 4.1019,                      0,                      0,                      0,                      0,                 4.1015,                 5.1337,                 4.0911,               0.087351,              0.0013515,              0.0013515
                     15,                 4.1246,                 5.6411,                 4.0961,                      0,                      0,                      0,                      0,                 4.0803,                 5.1002,                 4.0809,               0.086444,              0.0014443,              0.0014443
                     16,                 4.4245,                  5.634,                 4.0845,                      0,                      0,                      0,                      0,                 4.0589,                 5.0763,                 4.0699,               0.085537,              0.0015366,              0.0015366
                     17,                 4.0206,                 5.2954,                 4.1141,                      0,                      0,                      0,                      0,                 4.0439,                 5.0521,                   4.06,               0.084628,              0.0016285,              0.0016285
                     18,                 3.7053,                 5.5419,                 4.1116,                      0,                      0,                      0,                      0,                 4.0261,                 4.5121,                 4.0495,                0.08372,              0.0017198,              0.0017198
                     19,                 3.7398,                  5.369,                 4.1224,                      0,                      0,                      0,                      0,                 4.0141,                  4.318,                 4.0394,               0.082811,              0.0018107,              0.0018107
